Quarter of Month,Measure Names,Measure Values
2014 Q1,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",60
2014 Q2,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",59
2014 Q3,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",57
2014 Q4,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",77
2015 Q1,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",73
2015 Q2,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",75
2015 Q3,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",71
2015 Q4,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",94
2016 Q1,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",100
2016 Q2,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",121
2016 Q3,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",106
2016 Q4,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",147
2017 Q1,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",155
2017 Q2,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",180
2017 Q3,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",175
2017 Q4,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",215
2018 Q1,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",220
2018 Q2,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",232
2018 Q3,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",216
2018 Q4,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",235
2019 Q1,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",237
2019 Q2,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",257
2019 Q3,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",231
2019 Q4,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",256
2020 Q1,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",236
2020 Q2,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",253
2020 Q3,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",236
2020 Q4,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",201
2021 Q1,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",181
2021 Q2,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",199
2021 Q3,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",168
2021 Q4,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",204
2022 Q1,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",296
2022 Q2,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",340
2022 Q3,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",300
2022 Q4,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",550
2023 Q1,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",676
2023 Q2,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",718
2023 Q3,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",626
2023 Q4,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",695
2024 Q1,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",785
2024 Q2,"Deepfake Technology (GANs, Autoencoder, Diffusion Models)",807
2014 Q1,"Deepfake (Deepfake, Fake Face, Face Generation)",61
2014 Q2,"Deepfake (Deepfake, Fake Face, Face Generation)",50
2014 Q3,"Deepfake (Deepfake, Fake Face, Face Generation)",63
2014 Q4,"Deepfake (Deepfake, Fake Face, Face Generation)",33
2015 Q1,"Deepfake (Deepfake, Fake Face, Face Generation)",47
2015 Q2,"Deepfake (Deepfake, Fake Face, Face Generation)",35
2015 Q3,"Deepfake (Deepfake, Fake Face, Face Generation)",49
2015 Q4,"Deepfake (Deepfake, Fake Face, Face Generation)",24
2016 Q1,"Deepfake (Deepfake, Fake Face, Face Generation)",26
2016 Q2,"Deepfake (Deepfake, Fake Face, Face Generation)",27
2016 Q3,"Deepfake (Deepfake, Fake Face, Face Generation)",21
2016 Q4,"Deepfake (Deepfake, Fake Face, Face Generation)",42
2017 Q1,"Deepfake (Deepfake, Fake Face, Face Generation)",27
2017 Q2,"Deepfake (Deepfake, Fake Face, Face Generation)",19
2017 Q3,"Deepfake (Deepfake, Fake Face, Face Generation)",39
2017 Q4,"Deepfake (Deepfake, Fake Face, Face Generation)",79
2018 Q1,"Deepfake (Deepfake, Fake Face, Face Generation)",199
2018 Q2,"Deepfake (Deepfake, Fake Face, Face Generation)",89
2018 Q3,"Deepfake (Deepfake, Fake Face, Face Generation)",67
2018 Q4,"Deepfake (Deepfake, Fake Face, Face Generation)",116
2019 Q1,"Deepfake (Deepfake, Fake Face, Face Generation)",152
2019 Q2,"Deepfake (Deepfake, Fake Face, Face Generation)",135
2019 Q3,"Deepfake (Deepfake, Fake Face, Face Generation)",268
2019 Q4,"Deepfake (Deepfake, Fake Face, Face Generation)",280
2020 Q1,"Deepfake (Deepfake, Fake Face, Face Generation)",242
2020 Q2,"Deepfake (Deepfake, Fake Face, Face Generation)",273
2020 Q3,"Deepfake (Deepfake, Fake Face, Face Generation)",293
2020 Q4,"Deepfake (Deepfake, Fake Face, Face Generation)",282
2021 Q1,"Deepfake (Deepfake, Fake Face, Face Generation)",308
2021 Q2,"Deepfake (Deepfake, Fake Face, Face Generation)",243
2021 Q3,"Deepfake (Deepfake, Fake Face, Face Generation)",353
2021 Q4,"Deepfake (Deepfake, Fake Face, Face Generation)",341
2022 Q1,"Deepfake (Deepfake, Fake Face, Face Generation)",470
2022 Q2,"Deepfake (Deepfake, Fake Face, Face Generation)",395
2022 Q3,"Deepfake (Deepfake, Fake Face, Face Generation)",425
2022 Q4,"Deepfake (Deepfake, Fake Face, Face Generation)",469
2023 Q1,"Deepfake (Deepfake, Fake Face, Face Generation)",589
2023 Q2,"Deepfake (Deepfake, Fake Face, Face Generation)",573
2023 Q3,"Deepfake (Deepfake, Fake Face, Face Generation)",639
2023 Q4,"Deepfake (Deepfake, Fake Face, Face Generation)",735
2024 Q1,"Deepfake (Deepfake, Fake Face, Face Generation)",746
2024 Q2,"Deepfake (Deepfake, Fake Face, Face Generation)",731
2014 Q1,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",54
2014 Q2,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",49
2014 Q3,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",54
2014 Q4,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",49
2015 Q1,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",52
2015 Q2,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",72
2015 Q3,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",44
2015 Q4,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",50
2016 Q1,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",52
2016 Q2,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",47
2016 Q3,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",46
2016 Q4,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",87
2017 Q1,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",80
2017 Q2,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",68
2017 Q3,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",60
2017 Q4,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",54
2018 Q1,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",54
2018 Q2,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",80
2018 Q3,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",104
2018 Q4,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",81
2019 Q1,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",67
2019 Q2,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",76
2019 Q3,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",121
2019 Q4,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",127
2020 Q1,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",195
2020 Q2,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",187
2020 Q3,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",153
2020 Q4,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",161
2021 Q1,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",151
2021 Q2,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",157
2021 Q3,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",168
2021 Q4,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",161
2022 Q1,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",223
2022 Q2,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",250
2022 Q3,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",202
2022 Q4,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",256
2023 Q1,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",504
2023 Q2,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",512
2023 Q3,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",476
2023 Q4,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",469
2024 Q1,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",586
2024 Q2,"Audio Spoofing (Deepfake Audio, Voice Cloning, Audio Generation)",594
